Title,Directors,Writers,Actors,Genres,Release Date,Runtime,Rating Count,Summary
Enlisted division,Takada Yoshiro,,"Benmu Yahong, Hiroshi Ryoko, Yamazaki Nu, Yoshiko Kazuko, Historo History, Yu Takayuki",Plot,2021/10/29,130,697988,"I bought an expensive cello and wanted to achieve a career, Kobayashi Dawu (Ben Mu Yahong), and experienced 4 months of orchestral performance, but got the bad debt of the ""band dissolution"" and the high debt of buying musical instruments.As a last resort, Dawu and his wife Mika (Hiroshi Ryoko) moved to the old house and lived a poor life.One day, an advertisement attracted Da Wu's attention: NK agency companies, helping travel, high -paying short working hours.Dawu came to the NK proxy company for interview. President Sasaki Sasaki (Namazaki) decided to hire Dawu without saying a word, but avoided the work content.Under the repeated questioning of Dawu, President Sasaki finally Taoist: I work in the Japanese NOU KAN!

Although psychologically dyight, the high salary still made Dawu accept the job.But how easy is such a job talking about ordinary people. On the one hand, it is discomfort to the remains, and on the one hand, it must conceal his work on his wife and friends. This is how Kobayashi Dawu's extraordinary work begins."
Chongqing Forest,Wang Jiawei,,"Lin Qingxia, Jincheng Wu, Liang Chaowei, Faye Wong, Zhou Jialing","Plot, love",1994/7/14,102,852804,"Police (Jinchengwu) with a number 223 suffer from lover syndrome after falling in love. After passing by with blonde killer (Lin Qingxia), after a night of warmth, everything that originally thought it was ""love"".With a shelf life, he unexpectedly ushered in the short warmth of the soul.However, their love is over.

The newly -known female in the fast food restaurant entertained Affie (Faye Wong) and fell in love with the police (Liang Chaowei) who often patronized the fast food restaurant.Fei knew his mood, stealing his key to sneak into his house while he was not always, and quietly changed his life while sleepwalking, and finally made him feel the return of emotion.However, this is the beginning of their love."
Broken Mountain,Li An,,"Heath Lejer, Jack Glenhal, Michelle Williams, Anne Hathaway, Kate Marla, Randy Quad, Linda Cadrini, Anna Farris, Graham Baker, Scott Michael Campbell, David Harbers, Robertta Maxwell, Patt McLiby, Shane Hill, Brooklyn Plax,Jack Qiuqi","Plot, love, homosexual, family",2005/9/2,134,733523,"In the west of Waioming, the United States, the silent farmers (Heath Ledie) and the enthusiastic and cheerful denim Jack (Jack Glen Hill) were sent to the shepherd on the mountain.Coupled, life is monotonous.In a cold night, under the influence of alcohol and hormones, they did ""things that should not be done"", and they spent the best time in life on the broken back mountain.

Seasonal grazing ends, forced by secular pressure, Jack and Enenis reluctantly separated from each other and married each other.Ennis married Alma, who had known each other since he was a child, and had two cute daughters; Jack arrived in Texas, and his career was smooth under the support of his wife's Lu Lin family, and he had a son.Although they are sincerely corresponding to each other, they can only date each year.Alma, who knows, is extremely painful, and they cannot meet the reunion of only a few days a year.An accident happened at this time ..."
Edward Scissorhands,Tim Polton,,"Johnny Depp, Winona Ryde, Dian West, Anthony Michael Haier, Casey Baker, Robert Oliviri, Confuca Ferrel, Caroline路 Alon, Dick Anthony Williams, Alan Jones, Vincent Prince, Allen Akin, Susan Blomat, John Davidson, Brian Lagan, VictoriaPrice, Stuart Lancaster, Gina Gallagher, Alon Rostein, Alan Fogy, Steven Britl, Peter Palmer, Mark McCuli, Donna Peronney, Kathy Dombo, TabethaThomas, Nick Carter","Plot, love, fantasy",1990/12/6,105,1068942,"Edward (Johnny Dapu) is a robot. He has a human mind, but he has a pair of scissors, living in the castle alone, and the cosmetic salesman who broke into the castle takes him home and let him let him go home and let him let him go home and let him go home and let him go home and let him go home and let him go home and let him go home and let him go home and let him go home and let him go home and let him go home and let him go home and let him go home and let him go home and let him go home and let him go home and let him go home and let him go home and let itHe walked into the human world.Simply Edward fell in love with Pegg's daughter Kim (Vinona Ryde), and Jin was slowly attracted by Edward's kindness.

However, a series of accidents made the neighbors around the people around Edward from like to unacceptable. Edward found that he always had a good thing to do bad things.world."
Princess Mononoke,Hayao Miyazaki,,"Matsuda Yoshihiko, Ishida Yuriko, Tanaka Yuko, Kobayashi Kaoru, Nishimura Yaki, Hiroshi Hengyan, Shimamotoshimo, Watanabe, Sato, Namuya, Morimoi, Moriko, long -lasting Masami Miya","Animation, fantasy, adventure",1997/7/12,134,551176,"In order to save the villagers in the crisis, Asdaka's right hand was cursed.Daka had to leave his loved ones to west to find a way to relieve the curse.During the journey, he encountered the poor villagers led by Magic Ji to mine iron ore in the forest of the Kirin Beast and refine ore.The white wolf God Mona and her human girl ""Ghost Princess"" Sang hated the fantasy girl because they felt that the Magic Ji led everyone to destroy the forest.Asdaka, who wants to help humans, is attracted by Sang Shen, he understands her, but he has to fight with her in order to help the poor.In a battle, Asta was rescued by Kirin Beast, and his position was even more uncertain.At this time, a group of people headed by the monk to kill the Kirin beast, the Magic Ji shot Kirin with a musket, and Kirin's head was snatched by the monk.The soul of the angry unicorn is to recapture his head and destroy the forest.Asta and Sang teamed up to help Kirin to take back their heads."
brave heart,Mel Gibson,,"Mel Gibson, Sophie Masso, Brian Cosks, James Cuzmo, Sin Lauro, Catherine Mcmark, Argus Mcfiden","Plot, action, biography, history, war",1995/5/18,178,575620,"In his childhood, William Wallace, his father and Scottish national hero Marcels sacrificed in the struggle with the British. He began to accept the guidance of his father and friends to learn Scotland culture and martial arts.The young Wallace (Mel Gibson) returned to his hometown and proposed to the beautiful young girl Meillen. He didn't want Melen to be snatched and killed by the British army.In the voice of the villagers' ""heroes"", Wallace led the public to reverse the uprising and formed an alliance with the Scottish noble Robber, but soon he discovered that the Scottish nobles considered their own interests.

In order to ease the situation, the King of British Paisababra (Sophie Masso) went to negotiate with Wallace. Because the British king only wanted to buy Wallace, the negotiation failed regardless of the freedom and peace of the Scotland people, but this didEverything is not known to Isabella.After Isabella returned to China, he discovered the truth, and knew that British king was planning a ghost move, and he was busy sending a letter to Wallace, and the love between the two also quietly breeds in the war and conspiracy."
Parasite,Feng Junhao,,"Song Kanghao, Li Shanjun, Cao Ruzhen, Cui Yuzhi, Park Dan, Li Yizhen, Zhang Huizhen, Zheng Zhi, Park Mingxun, Park Xujun, Park Genlu, Zheng Xianjun, Park Hyo -Xin, Andreas Felongke",Plot,2019/5/21,132,1437260,"Ji Yu (Cui Yuzhi) was born in a poor family, and lived with her sister Ji Ting (Pu Pan Dan) and her parents in a narrow basement.One day, Jiyu's classmates came to visit. He told Ji Yu that he was a family tutor for his daughter at a rich man's house. The wife was a simple and generous woman. Because he was going to study abroad, he would tutor the position of tutoring.Temporarily transfer to Jiyu.

In this way, Jiyu came to President Park (Li Shanjun )'s house and saw his wife (Zhao Ruzhen). It didn't take long for Ji Yu's sister and parents to enter President President Park's work like a parasite.EssenceHowever, their ambitions did not stop here, and Ji Yu fell in love with the young lady.Over time, the secrets hidden in President Pan's house gradually surfaced."
Love at the sunset at dusk,Richard Linklet,,"Elsan Hawk, Julie Delpe, Funno Dobachev, Louis Loma Na Torres, Rothor Poly, Maryan Pram Tiger, Diablo,Danny Fla, Albert Delpe, Mary Perry","Plot, love",2004/2/10,80,593634,"Nine years ago, Jesse (Ethan Hawke) and Celine (Julie Delpy) met on the train unexpectedly, and he was excited.After crossing the crazy and romantic night in Vienna, they broke up before the sunrise and met in Vienna.

Nine years later, Jesse has become a best -selling writer, and Celine is a member of French environmental protection organization.Jessie said in the new book, it was the romantic night nine years ago.During the new book in Paris, Jesse met in a bookstore. However, they had only one afternoon to get along. Before the sunset, Jesse had to rush back to the United States by plane.The two walked on the streets of Paris in the afternoon and rafted on the beautiful moat.But just like fate, happy time is as intoxicating as fireworks but brief.

Jessie was unforgettable to send it again, and she was unforgettable; Celine used guitar and singing to miss the love deep in her heart.The sun was about to fall, and Jesse was going to mistake the plane, or maybe he didn't want to miss it, it was the fate of life."
Kikujiro summer,Kitano,,"Kitano, Kuankou Hirosuke, Kishimoto Katoko, Yoshiyoshi Kazuko, Hosokawa Dianjiang, everyone is Yumiko, Musaki, Suzuki, Dr. Inoue, Kamura Rat, Tanaka Takajo","Plot, comedy",2020/9/25,121,624657,"The summer vacation is coming, and the third grade student of the primary school of the primary school (Guankou Xiongjie), who was killed by his father, now lives with his grandmother, and is particularly boring in the summer vacation.He took out a letter sent by his mother from the field to prepare to visit his mother alone in Fengqiao City, Aichi Prefecture.

After discovering, Auntie Auntie (Kishimoto Kaki Shiko) decided to help Zhengnan fulfill his wishes.She took out a sum of money as a travel expense, and also arranged for her leisurely husband, Kikuro (Kitano Martial Arts) to accompany the positive man on the way to find his mother.But on the first day, Ju Jiro lost all the money given by his wife, so the two had to walk to Aichi.

After setting up the windmill all the way, after causing a lot of trouble, Ju Jiro finally took the boy to his mother's house, but the little boy was very frustrated.On the way back, Ju Jiro tried to comfort him. The two lived very well, and the summer passed."
"Ari Edi, a villain who borrowed things",Milin Hongchang,,"In the future of Shitian, Kamiyoshi, Tree Hilin, Miura Yuka, Dazhong Ninja, Takeshita Moriko, Fujiwara Dragon","Animation, fantasy, adventure",2010/7/17,94,582351,"Although suffering from heart disease, the parents of Junior (Voicing of Kamagumi Noshima) were still negligible for him.In order to prepare for the upcoming surgery, Xiang came to the home of aunt (dubbing), a aunt (dubbing of Takeshita Takeshita) in the remote country.Auntie's house is located in a quiet jungle, a European -style villa with a history of hundreds of years.In addition to living aunt and maid Achun (tree Hillin), there is also a strange family of three, ""borrowing things"" -movana (Shikita's future dubbing) and her father (MiuraFriends and dubbing) Mom (Dazhu Ren dubbing), they live under the floor of the villa, only a few centimeters tall, living a life that is not perceived by humans.When you encounter the daily necessities you need, you will sneak into the kitchen when you are quiet at night.Xiang inadvertently glanced at the figure of Altei. He was close to the villains in these legends, but unknowingly disturbed their lives ... This film is adapted from British writer Mary Norton's original ""Borrowing Villager"",He also won the 2011 Japan Film Academy Award for Best Animation Award."
Disappearing lover,David Vinci,,"Ben Afflek, Pei Chunhua, Neil Patrick Harris, Kelly Kun, Taylor Pairi, Kim Denkens, Miche Paeller, Poad Hobroke, EmilyLatakoski, Snow Wulde, Patkkkkit, Scott McNari, Casey Wilson, Lee Norris","Plot, suspense, thriller, crime",2014/9/26,149,1001415,"On the morning of the fifth anniversary of marriage, Nick Dunn (Ben Affleck) came to the bar of his sister Mago (Carrie Coon), his sister Mago, cursing complaining that the wife Ai, who had loved each other, AiMi (Rosmond Pike Rosamund Pike) and the marriage that is completely invisible.When he returned home, he found that there was a trace of atrocities in the living room, and his wife disappeared.Female agent Ronaldini (Kim Dickens) came to investigate after receiving the report, and the various clues left at the scene seemed to show that this was not an ordinary disappearance case, and it may be hidden behind it.The crime of murderous murder of husband and wife.Amy's missing through the media has rendered and deliberately speculated that it was famous for the country. Nick, who was not good, was pushed to the cusp. So far, the lover who has not seen a ruthless trial on him has been relentlessly.Revenge and torture ...

The film is based on the novel of the same name of Gillian Flynn."
Unknown,Is Zhi Yuhe,,"Liu Le Youomi, Kitaku Ai, Kimura Feiying, Shimizu Mengzi, Han Yinghui, Jiang Yuan Yukiko, Chuantianhe Miyu, Okuraki Kiko, Kazuko, Kasuno, Muraki KazakhstanFirst, Mizukajin, Pingquan Cheng",Plot,2004/5/13,141,340017,"The newly moved apartment is the mother, You, with four children: Ming (Liu Le Youya), Kyoko, Mao, Xue.However, the mother had to lie to the people around him that her husband went to work overseas and lived with the eldest son.The fact is that the other three siblings are ""black children"", because the four children have their own father.They have been staying at home and did not go to school to go to school.

When the mother went to work in the department store, the younger Ming Ming instead of the mother's responsibilities instead of the mother at home.Suddenly one day the mother was gone. She left the only 200,000 yen cash in her hand and a short note to the children. After entrusting her younger sister to the control, she quietly left home.

There is no reason for no reason, and the four children who know almost nothing outside, to start facing a new life, it is not easy ..."
Wei Ma,Jinmin,,"Iwanan Runzi, Matsumoto Eroka, Kuang Yaki, Okura Zhengzhang, Akiyama Yangjie, Salt House Wing, Hiroshima, Shinohara, Tsukihara Toru, Guzawa Toru, Johor Bahru, Kagawa Kashiko, Yuankuki, YuankaYami, Sanmu Tonichi, Yamano Jingren, Tianye Hye, Changya Gao Shi, Tao Shan Zhang Yang, Ximi Jingzhi, Far and Far Filial One, Benjing British and American, President President Yilang, Tanishan Journal, Kitano, Nangomi, Shop Yino, Shopping Yino Yino","Animation, thriller, fantasy",1997/8/5,81,369709,"The popular three girl idol group Charming Bird faced dissolution, and the core member of the fog was not numb under the arrangement of the office and had to withdraw from the group and transformed into a TV drama actor.Everything is difficult at the beginning, especially for the transformation of idol singers. She is under pressure at work and is unhappy.At the same time, all kinds of intimidation letters, the attack of Mr. Tian Insurance, and the mysterious people who wrote a diary on the website with their own tone made unwilling anxiety, and she even saw another herself.

The distress of Wei Ma is well known. The greedy fields and even agreed with the script of the crew, asking Wei Ma to star in a great rape drama.This performance became a turning point in the underage performing arts career. Her appearance rate began to rise, and she even took a naked photo.In contrast, Shibuya, the screenwriter of the TV series, was killed in succession for the photographer Muima Murado, who had taken a nude photo by Wei Ma.Wei Ma's life becomes chaotic. What is the truth?

This film won the best Asian film in the 1997 Asian Fantasy Film Festival."
Sunny days,Ginger,,"Xia Yu, tranquility, Tao Hong, Geng Le, Siqin Gaowa, Feng Xiaogang, Liu Xiaoning, Jiang Wen, Wang Xuezheng, Wang Shuo, Fang Hua, Dai Shaobo, Wang Hai, Wu Shukun, Zuo Xiaoqing, Han Dong, Sun Sun, Sun Dong, Sun Dong, Sun DongJing, Liu Bin, Zhang Wei, Yang Tonglin, Wang Hai, Wang Hai, Wang Fu, Hu Beibei, Gao Baocheng, Wu Shuyu, Zhang Hua, Er Yong, Liezi, Chen Wei","Plot, love",1995/8/21,134,642075,"In Beijing in the early 1970s, adults are busy with the ""revolutionary revolution"" and have nothing to do with children. In addition, there is nothing to do with school suspension of school.Tunnism, patting a mother -in -law, etc. to splurge the hormones.Ma Xiaojun (Xia Yu) is such a teenager. One of his hobbies is to open it to the other people's universal keys and slip in and play. It is in this way. The girl Milan (tranquility)The photo first entered Ma Xiaojun's eyes.Through the ""head"" in the courtyard, Liu Yibu (Geng Le), Ma Xiaojun saw Milan who had glanced at the artillery bureau accidentally before, and began to formally treat it as a dream lover.One of Mao, the person she likes is a mature, stable, and handsome Liu Yibu.Since then, Ma Xiaojun has ushered in a mixed adolescent life.

This film is adapted from Wang Shuo's short story ""Animal Ferry"".Xia Yu won the 51st Venice International Film Festival Best Actor (Silver Lion Award) with this film."
Time and space traveler,Richard Curtis,,"Dumanar Greeson, Rachel McAdias, Bill Nais, Lidia Wilson, Lindsay Duncan, Richard Kodric, Josa McDCE, Tom HollandDel, Magdte Robbi, Vir Merik, Vaenisa Kobe, Tom Hughes, Harry Hayton-Payton, Mitchel Maren, Lisa Ecane, Jenny 路Leinesford, Philip Wall, Catherine Sadman, Tom Stolton, Antha Chunxiang, Lee Asques-Ke, Richard Blacks, Paul Blackville, Bain 路 路Kolako, Gram Curi, Rolevona Dimmond, John Dagan, Dino Fazani, Neva Gockef, Richard E. Grant, Richard Grees, Lee路 Nicholas Harris, Richard Hedman, Li Xianhu, Matthew C. Matino, Martin McGonagu, Altice Moore","Comedy, love, fantasy",2013/9/4,123,716227,"Tim (Domhnall Gleeson) is 21 years old. His dad (Bill Nighy) told him that men in their families sometimes travel superpowers and can return to the past.EssenceSo Tim tried the letter suspiciously, back to summer, where he tried to change the relationship with the crush, but found that how to cross time and space can not let people who do not love you fall in love with you.Tim came to London and became a lawyer.He fell in love with a beautiful girl Mary (Rachel McAdams Rachel McAdams), who tried hard to become Mary's boyfriend through several time and space.Later, he tried to travel through time to restore a failure drama, improve his sister's life, get along with loved ones and friends, and spend every day in life."
Perfect world,Klint Eastwood,,"Kevin Costerner, Laura Dunn, Klint Eastwood, T. J. Laose, Kis Szala Bagik","Plot, crime",1993/11/24,138,331990,"Single -parent Philip Perry (T. J. Laose T.J. Lowt )'s mother was very strict with him. The 8 -year -old Felip had never even participated in a ghost section of candy.Two criminals from nearby state prisons were successful in jailbreak and hijacked Philip as hostages and fled to Texas borders.On the way, one of the criminals (Kevin Costner), the criminal, killed the reckless and stupid associate, but took care of the little Philip.At the same time, the Texas Alert Reed (Clint Eastwood) with his men and governor Sali (Laura Dunn Laura Dern) quickly hunting Budi with his men and governor special criminal experts.The two sides launched a highway competition in Texas; and Felip also experienced many stimulus and happiness that had never been thought about, and had an unusual feeling of approximate father and son ..."
Ghost Girl Ghost,Cheng Xiaodong,,"Leslie Cheung, Wang Zuxian, noon horse, Liu Zhaoming, Lin Wei, Xue Yilun, Hu Dawei, Wang Jing","Love, fantasy, martial arts, costume",2011/4/30,96,768669,"The scholar Ning Caichen (Leslie Cheung) was not able to return the accounts and had nowhere to return. Sui Night stayed with the Ghost Temple Lan Ruo Temple.One day, she encountered the Yan Girl Xiaoqian (Wang Zuxian), and the two were in love with each other, but Xiao Qian was a ghost controlled by the tree demon.Xiao Qian saw Ning Caichen's kindness and could not bear to harm, and gradually deepened his feelings with him.Ning Caichen wanted to save Xiaoqian from the magic palm, but suffered from deep skills, Xiaoqian could not escape from his magic palm.The two then asked Yan Chixia for help ..."
Angel loves beauty,Jean-Pierre hot,,"Audrey Tatu, Matthew Cassovitz, Luffes, Llela Klawa, Serlin, Jamel Dubitz, Kloteld Mryt, Claire路 Morrier, Isabel Nandi, Dominic Pinon, Altis De Pengju Ern, Aiya Da Monroe, Yuerbane Conseli, Morris Benny Shu,Michelle Rostermo, Andre Damang, Klord Pelon, Almel, Diki Olgado, Kevin Diast, Flose Gaye, Amori路 Baber, Oren Beti, Jean Dali, Mark Ami","Plot, comedy, love",2001/4/25,122,978865,"Emily (Audrey Tautou) has a childhood with unfortunately he seemed to have a health test for her, and found that she had a heart disease when she was fast, and she had a heart disease.School insulation.Later, due to an accident, the mother died suddenly in front of her.All this does not affect Emily's openness and optimism of life.

In 1997, the death of Princess Diana made her feel the loneliness and fragility of her life. Emily started a series of helping plans, including autistic depression neighbors.Landlords, love frustrated coffee shop colleagues.But she never thought that the adult video shop clerk Nino (Mathieu Kassovitz), who was the adult, became her tricky object. Emily began to cry and laugh ..."
Little Forest Summer Autumn Chapter,Senchunichi,,"Hashimoto Ai, Miura is expensive, Matsuoka Moyou, warm water ocean, Tongdao plus love",Plot,2014/8/30,111,442483,"Ordinary girl Shimo (Aiwamoto Ai) has grown in Village Kobayashi, a village in Northeast Japan since childhood.It is far from the hustle and bustle of the city, surrounded by green mountains and green water, and it is a quiet and quiet paradise.The villagers made a sunrise, and they were at sunset. They rely on a pair of hard -working hands to operate a small but comfortable life, and there was no dispute with the world.Shizi once went to Tokyo, but after all, she couldn't adapt to the pace of fast -paced urban, and finally returned to the old house where her mother was gone.In her childhood, her mother Fuko used various ingredients in mountains and fields to make a random food. The solid city was lamenting that she was deceived, and left her good memories deep in the taste buds.As if following her mother's pace, she incorporated her love for her hometown into the cooking of food.Surrounded by friends, Yu Tai (Miura Guida) and Jizi (Matsuoka Mo You), enjoy a carefree life ...

The film is adapted from the comics of Gyosuke Okiosuke."
Harry Potter and Flame Cup,Mike Neiwell,,"Daniel Dalv, Emma Watson, Robert Grindot, Michael Smith, Maggie Smith, Tom Felton, Timothy Spo, Robert Pattinson, Liang Pei Shi, David Tennte, Mark Williams, Eric Setus, James Phelps, Oliver Phillps, Bonnie White, Craim Mans ascer路 Odman, Jeff Laul, Jonson Esco, Stannislav Yinnevsky, Robert Hadi, Ashli 鈥嬧€婣shlitus, Alex Parm,Rog Royd Parker, Hillary Allen, Su Elliot, David Stan, Magri Mason, Matthew Lewis, Roupe Cutraney, William Mai Ling, Big Big, Big BigWei Bradley, Davin Murray, Evishan Azad, Vavik Davis, Francis De La Tuwa, Xie Feli Judehiri, AngellakmanTi, Allen Rickman, Pruderag Bierak, Tolga SAFER, Blaidan Greeson, Alfred Inkic, Louis Doir, Jamie Wellert, Josh Hudman, Charlotte Skeckey, Miranda Richardson, Robert Wil Ford, Tiana Benjamin, Henry Louger Hughes, Jarvis Kochor, Johnny 路 路Greenwood, Phil Servi, Steve McKee, Jason Buckle, Steve Claydon, Shirley Henderson, Ralf FieinsMolville, Lasco Atkins, Jack Bagley, Gray Baramasina, Paul Davies, Barry Dowden, Natalie Hallam","Suspense, fantasy, adventure",2005/11/18,157,705132,"This is an unusual semester, a grand event at the magic school: the top three competitions were held in Hogwarts.The students scrambled to sign up, and Greek Wing received eternal honor.After the Flame Cup selected three warriors in the three schools, Harry, who was not enough, also chose Harry.

The election of Harry (Daniel Radcliff) caused the jealousy of other students. Even the iron buddy Rupert Grint was for the first time with him. Harry felt isolated and helpless. FortunatelyMin has always supported him.But there are always some good things such as reporter Lita waiting to watch his good show.God knows how hard this game is, stealing eggs under the eyelids of the dragon, sneaking into the bottom of the lake to save people, and adventure in the maze ... accidentally, even the price of life may even pay.

The threat of the Black Demon Voldemort has gradually appeared, and every day is dangerous, and it is moving."
Listen attentively,Kondo Kiwen,,"The real name of Yangzi, Xiaolin Guishu, Takahamnan, Takahashi Life, Rongli Zhi under the mountains, Mursuki, Lutou, Izuka Ya Gong","Plot, love, animation",1995/7/15,111,486687,"Yue Daowen, who is studying in the third grade, is a girl who likes to read a book. She can see a name called Tiaze Shengshi every time she can see a book card, so she is curious about this person.Wen has always liked to write poems. One day she and her friend Xi Zi were discussing the writing of poems. Xi Zi told Wen that she received a love letter, but in fact, Xi Zi had a favorite person.What's even more unexpected is that the Sugura I like to like Yosi is Wen, and Wen feels very confused at a time.Wen came to a small shop inadvertently.After knowing Saint Si, after hearing Sheng Si's pursuit of his ideal, he also inspired Wen's thought of pursuit of his ideal.When Saint Si left in Italy to study violin, Wen decided to concentrate on writing.When Wen finished her work, she found that she had overestimated herself, so she chose to continue the high school. At this time, she missed the Saint Saint.One morning, she stood by the window and suddenly saw a familiar figure ..."
Dragon tame master,"Dien Deblos, Chris Sanders",,"Jey Barukier, Gerald Bartler, Craig Ferguson, Amelca Ferrara, Jona Hill, Christov Metz Please,T. J. Miller, Christine Weig, Robin Atkin Downs, Philip McGrad, Keelung Eliott, Ashley Jessen, David Tent","Animation, fantasy, adventure",2010/5/14,98,791616,"The juvenile Jay Baruchel of the Viking Island State is the son of the great Starik (Jerad Batler Gerard Butler dubbing), the tribe leader.Dragon slaughter -these flying dragons are the main natural enemies of the Vikings on the island -but every time he appears in the tribe's dragon's battle, he only gives everyone troubles.In a battle against Flying Dragon, Hikapi secretly wounded a most mysterious ""Night Angry Dragon"" with a dragon instrument, and carried the people to release, support it, and even tamed this dragon.""No toothless"".Hikapop's mysterious behavior caused suspicion of the girl who trained the dragon's skills, Astrid (Amerca Ferrara America Ferrera).Astelide discovered Hicaku's secret, but was shocked by the wonderful experience of ""toothless"" royal wind.Gray decided to explain the truth to the return of the expedition to the expedition to the expedition to the expedition to give up the dragon's slaughter at the expedition, but to give up the dragon's slaughter, but it was clumsy, and the ""toothless"" was captured.Nympho"
Happiness Terminal,Steven Speelberg,,"Tom Hanks, Catherine Zeta Jones, Stanley Tuqi, Qi McCabreid, Diego Rona, Barry Sabah Henry, Kuma Parana, Zoi SobErdana, Eddie Jones, Zude Seklira, Corry Reynolds, Gilel Momo Diaz, Reni Bell, Valeri Nicholaev, Michael Norri, Bob Morris, Sasha Spelberg, Susan Solomi, Callis Bark, Stephen Fuller, Dan Fenni, Lidia Branko, Ken Kenko, KenNice Cui, Cas Avar, Conrad Prara, Duzanne Dukizi, Mark Eavane, Benny Golson, Scott Anders, Robert Kovribia, Dilva Henry, Karl Ellache, Haliti Akbas, Elix Burns, Elena Cardine, Dan Chase, Chader R. Davis, Anton Rahiro EllieAya, Michael Eliopoulos, Marston Forbes, Riad Galayini, Gerald Ghana, Justin Rogers Horer, Mohammed Hassan, Amber Havens, KSENIA JAROVA, Barry Julian, Svilena Kidess, zuzana monroe AlleyWest Asia Ochose, Benjamin Ocheyne","Plot, comedy, love",2005/1/14,128,598228,"In order to fulfill his father's wish, Victor (Tom Hanks Tom Hanks) took a plane from his home country to the United States Kennedy Airport, but dramatic things happened: he was told to have a coup in the motherland, and his ID card passport was one by oneFailure, at the same time, his visa cannot be used again.Victor, who has dilemmas, only stays at the airport, waiting for the processing of new documents.

However, he waited for 9 months at the airport.In these nine months, he used the toilet in the airport and slept in the waiting room. He had learned to take care of local conditions, took care of his life at the airport, and even found a construction site to work.However, Victor's sloppyness attracted the dissatisfaction of the airport leader Frank (Stanley Tucci), and I am afraid that he was more angry that the beautiful stewardess Emilia (Catherine Zeta-Jones Catherine Zeta-Jones) actually fell in love with Victor.Victor, who is in the sweetness, is also slowly observing the life of the airport."
A man named Ouwei decided to die,Hamnes Hurm,,"Rove Lasgard, Baha Pas, Tobias Amberry, Philip Berg, Anna Lena Burentin, Borri Lunbber, EdaVerace, Frederick Evers, Madrine Jacobson, Chartrina Raton, Jackel Farstren",Plot,2015/12/25,116,513518,"Ovi (ROLF LASSG? RD) is a stereotyped and stubborn old man. His wife died of illness half a year ago, leaving him alone in this chaotic world.Every morning, Ouwei will be inspected regularly in the community to confirm that all vehicles are parked at the parking position, scolding vehicles that violate the regulations to enter the community privately, drive away cats and dogs that disrupt the environment, and in the eyes of residents in the communityIn, Ovi is ""the neighbors from hell"", but everyone understands that this is actually Ovi's profound expression of community love.

On one day, Ovi was fired by his boss, leaving his job for decades.However, just at this section, a woman and husband named Pavana (Baha Pas Bahar Pars) moved their two children next door to Ovi, becoming a stumbling block for the Ovi suicide plan."
Godfather 3,Francis Ford Coppola,,"Al -Paxino, Dian Keton, Taria Sher, Andy Garcia, Eric Vallah, Joe Mantner, George Hamilton, Brigitte Fangda, Sophia路 Coppola, Reaf Walan, Frank Deanbrowo, Donir Danari, Richard Britt, Hermut Berger, Tang Novolo","Plot, crime",1990/12/25,162,395205,"In a blink of an eye, it was 1979. The second -generation godfather Mike Corrion (Al -Parisino) reached the twilight years. For the soul redemption, Mike slowly ended the family's underworld and switched to just a business.

Mike's son Tony loves art and has no intention of taking over the family career. Michael decided to let the illegitimate son of the big Copenni inherit the family business and be the third -generation godfather.Mike's loved daughter Mary (Sophia Coppora) and Vincen fell in love. They were opposed by their father, and their father and daughter gradually alienated.

In order to legally make the family assets, Mike prepared to invest in the ""standing"" group through the relationship between the Holy See of the Vatican, but was secretly obstructed by the enemy. The death of the Pope also made things more confusing.

In helplessness, Mike could only choose to solve the problem with violence, and his relatives were also involved in the bloody storm."
Monster Power Company,"Peter Dougt, David Silfman, Lee Aung Kerichi",,"John Goodman, Billy Christopic, Marie Gibbes, Steve Boxi, James Kuben, Jennifer Tilly, Bob Pei Dedson, John Rassonbel, Frank Oz, Daniel Gilson, Bonnie Hunt, Jack Angel, Samuel Lord Black, Steve Sasanand","Comedy, animation, children, fantasy, adventure",2001/11/2,92,709509,"We don't know that there are a group of monsters living in such a world.They look funny, but they must pretend to be embarrassed.Because at night, they would quietly appear in the child's wardrobe, scaring the baby who just slept sweetly.Everything is because they are employees of monster power companies, and their children's screams are all energy of the monster kingdom power generation.The monsters are afraid of their children, but they must make their children scream.In the kingdom of monsters, they are all heroes for the whole people.

Mao Mao Su Liwen (John Goodman) is the best employee of the monster company, and his performance is always ahead. He is countless children.He and his partner Mike (Billy Chrisol) are very loved by everyone.Occasionally, Mao Mao accidentally brought a two -year -old girl Abu (Mary Gibbes) back to the monster world, causing great panic. The naughty and cute Abu scared these terrible monsters to turn the horse.Police are hunting Abu, and bad guy Henry (James Cobo) also plans to use Abu to carry out the evil plan for his reform factory.

On the other hand, in the process of getting along with Abu, Mao Mao gradually became inexplicable to her, and was even exiled in the wild.But one ..."
